 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 10/28/2021 11:22:07
File Marker Date: 10/27/2021 16:23:57
PPC_Dim_will_be_squared = 51.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 7.5
O_coupler = 12.0
Box_w = 250.0
R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S21],ANG[S21],DB[S22],ANG[S22]
5.431558400000000,-0.273925838123,-170.4951937675,-12.13785063111,-80.15343324292,-12.13785063111,-80.15343324292,-0.273925837698,-169.8119906930
5.431558500000000,-0.272493245350,-170.5322803485,-12.15991488145,-80.19051929516,-12.15991488145,-80.19051929516,-0.272493244925,-169.8490768981
5.431558600000001,-0.271064043820,-170.5693795002,-12.18204648078,-80.22761791372,-12.18204648078,-80.22761791372,-0.271064043395,-169.8861756739
5.431558700000000,-0.269638236750,-170.6064911978,-12.20424578115,-80.26472908414,-12.20424578115,-80.26472908414,-0.269638236325,-169.9232869955
5.431558800000000,-0.268215828309,-170.6436154166,-12.22651313770,-80.30185276705,-12.22651313770,-80.30185276705,-0.268215827883,-169.9604108384
5.431558900000001,-0.266796821765,-170.6807521318,-12.24884890828,-80.33898894626,-12.24884890828,-80.33898894626,-0.266796821339,-169.9975471777
5.431559000000000,-0.265381220646,-170.7179013182,-12.27125345349,-80.37613759877,-12.27125345349,-80.37613759877,-0.265381220220,-170.0346959881
5.431559100000000,-0.263969028924,-170.7550629513,-12.29372713739,-80.41329868954,-12.29372713739,-80.41329868954,-0.263969028498,-170.0718572452
5.431559200000001,-0.262560249910,-170.7922370059,-12.31627032655,-80.45047220080,-12.31627032655,-80.45047220080,-0.262560249483,-170.1090309238
5.431559300000000,-0.261154886968,-170.8294234564,-12.33888339041,-80.48765811317,-12.33888339041,-80.48765811317,-0.261154886541,-170.1462169984
5.431559400000000,-0.259752944069,-170.8666222783,-12.36156670211,-80.52485639105,-12.36156670211,-80.52485639105,-0.259752943642,-170.1834154443
5.431559500000001,-0.258354424748,-170.9038334463,-12.38432063752,-80.56206701009,-12.38432063752,-80.56206701009,-0.258354424321,-170.2206262364
5.431559600000000,-0.256959332239,-170.9410569348,-12.40714557523,-80.59928995382,-12.40714557523,-80.59928995382,-0.256959331812,-170.2578493488
5.431559700000000,-0.255567670429,-170.9782927189,-12.43004189776,-80.63652518815,-12.43004189776,-80.63652518815,-0.255567670001,-170.2950847569
5.431559800000000,-0.254179442792,-171.0155407731,-12.45300999028,-80.67377268974,-12.45300999028,-80.67377268974,-0.254179442365,-170.3323324352
5.431559900000001,-0.252794652884,-171.0528010718,-12.47605024119,-80.71103243292,-12.47605024119,-80.71103243292,-0.252794652456,-170.3695923579
5.431560000000000,-0.251413304215,-171.0900735898,-12.49916304248,-80.74830439297,-12.49916304248,-80.74830439297,-0.251413303787,-170.4068644999
5.431560100000000,-0.250035399948,-171.1273583008,-12.52234878871,-80.78558855443,-12.52234878871,-80.78558855443,-0.250035399520,-170.4441488349
5.431560200000001,-0.248660944228,-171.1646551801,-12.54560787891,-80.82288487500,-12.54560787891,-80.82288487500,-0.248660943800,-170.4814453382
5.431560300000000,-0.247289940392,-171.2019642018,-12.56894071461,-80.86019333403,-12.56894071461,-80.86019333403,-0.247289939964,-170.5187539839
5.431560400000000,-0.245922391828,-171.2392853400,-12.59234770092,-80.89751390932,-12.59234770092,-80.89751390932,-0.245922391399,-170.5560747461
5.431560500000001,-0.244558301998,-171.2766185689,-12.61582924642,-80.93484657641,-12.61582924642,-80.93484657641,-0.244558301569,-170.5934075990
5.431560600000000,-0.243197674887,-171.3139638632,-12.63938576362,-80.97219129630,-12.63938576362,-80.97219129630,-0.243197674458,-170.6307525173
5.431560700000000,-0.241840513018,-171.3513211958,-12.66301766737,-81.00954806989,-12.66301766737,-81.00954806989,-0.241840512589,-170.6681094738
5.431560800000001,-0.240486821220,-171.3886905423,-12.68672537786,-81.04691683449,-12.68672537786,-81.04691683449,-0.240486820790,-170.7054784444
5.431560900000000,-0.239136601511,-171.4260718752,-12.71050931689,-81.08429760459,-12.71050931689,-81.08429760459,-0.239136601081,-170.7428594012
5.431561000000000,-0.237789858543,-171.4634651693,-12.73436991159,-81.12169032175,-12.73436991159,-81.12169032175,-0.237789858113,-170.7802523193
5.431561100000001,-0.236446595295,-171.5008703984,-12.75830759198,-81.15909497357,-12.75830759198,-81.15909497357,-0.236446594865,-170.8176571724
5.431561200000000,-0.235106815082,-171.5382875360,-12.78232279174,-81.19651153819,-12.78232279174,-81.19651153819,-0.235106814652,-170.8550739339
5.431561300000000,-0.233770521942,-171.5757165565,-12.80641594902,-81.23393997325,-12.80641594902,-81.23393997325,-0.233770521512,-170.8925025784
5.431561400000001,-0.232437718810,-171.6131574329,-12.83058750479,-81.27138026707,-12.83058750479,-81.27138026707,-0.232437718380,-170.9299430787
5.431561500000000,-0.231108409182,-171.6506101388,-12.85483790449,-81.30883239203,-12.85483790449,-81.30883239203,-0.231108408752,-170.9673954086
5.431561600000000,-0.229782597036,-171.6880746490,-12.87916759807,-81.34629630663,-12.87916759807,-81.34629630663,-0.229782596605,-171.0048595428
5.431561700000000,-0.228460284900,-171.7255509352,-12.90357703764,-81.38377201012,-12.90357703764,-81.38377201012,-0.228460284469,-171.0423354529
5.431561800000001,-0.227141476739,-171.7630389719,-12.92806668116,-81.42125946092,-12.92806668116,-81.42125946092,-0.227141476308,-171.0798231135
5.431561900000000,-0.225826176400,-171.8005387329,-12.95263699018,-81.45875862038,-12.95263699018,-81.45875862038,-0.225826175969,-171.1173224986
5.431562000000000,-0.224514386511,-171.8380501909,-12.97728842957,-81.49626948438,-12.97728842957,-81.49626948438,-0.224514386080,-171.1548335804
5.431562100000001,-0.223206110656,-171.8755733189,-13.00202146887,-81.53379202144,-13.00202146887,-81.53379202144,-0.223206110224,-171.1923563324
5.431562200000000,-0.221901352631,-171.9131080911,-13.02683658239,-81.57132619355,-13.02683658239,-81.57132619355,-0.221901352200,-171.2298907286
5.431562300000000,-0.220600115718,-171.9506544803,-13.05173424791,-81.60887197732,-13.05173424791,-81.60887197732,-0.220600115286,-171.2674367417
5.431562400000001,-0.219302403082,-171.9882124594,-13.07671494762,-81.64642935240,-13.07671494762,-81.64642935240,-0.219302402650,-171.3049943447
5.431562500000000,-0.218008218285,-172.0257820017,-13.10177916844,-81.68399828684,-13.10177916844,-81.68399828684,-0.218008217852,-171.3425635109
5.431562600000000,-0.216717564569,-172.0633630800,-13.12692740126,-81.72157875768,-13.12692740126,-81.72157875768,-0.216717564136,-171.3801442131
5.431562700000001,-0.215430445419,-172.1009556673,-13.15216014179,-81.75917073466,-13.15216014179,-81.75917073466,-0.215430444986,-171.4177364244
5.431562800000000,-0.214146864106,-172.1385597367,-13.17747789009,-81.79677419351,-13.17747789009,-81.79677419351,-0.214146863673,-171.4553401176
5.431562900000000,-0.212866824182,-172.1761752610,-13.20288115104,-81.83438910146,-13.20288115104,-81.83438910146,-0.212866823749,-171.4929552659
5.431563000000001,-0.211590328797,-172.2138022129,-13.22837043373,-81.87201543735,-13.22837043373,-81.87201543735,-0.211590328364,-171.5305818417
5.431563100000000,-0.210317381587,-172.2514405655,-13.25394625242,-81.90965316534,-13.25394625242,-81.90965316534,-0.210317381154,-171.5682198181
5.431563200000000,-0.209047985687,-172.2890902910,-13.27960912569,-81.94730226421,-13.27960912569,-81.94730226421,-0.209047985254,-171.6058691676
5.431563300000001,-0.207782144216,-172.3267513621,-13.30535957705,-81.98496271301,-13.30535957705,-81.98496271301,-0.207782143783,-171.6435298626
5.431563400000000,-0.206519860929,-172.3644237517,-13.33119813516,-82.02263447161,-13.33119813516,-82.02263447161,-0.206519860495,-171.6812018761
5.431563500000000,-0.205261138726,-172.4021074318,-13.35712533307,-82.06031752505,-13.35712533307,-82.06031752505,-0.205261138292,-171.7188851800
5.431563600000000,-0.204005981115,-172.4398023751,-13.38314170935,-82.09801184006,-13.38314170935,-82.09801184006,-0.204005980681,-171.7565797472
5.431563700000001,-0.202754391739,-172.4775085546,-13.40924780778,-82.13571737893,-13.40924780778,-82.13571737893,-0.202754391304,-171.7942855506
5.431563800000000,-0.201506373570,-172.5152259418,-13.43544417642,-82.17343412382,-13.43544417642,-82.17343412382,-0.201506373135,-171.8320025617
5.431563900000000,-0.200261929571,-172.5529545091,-13.46173136895,-82.21116205713,-13.46173136895,-82.21116205713,-0.200261929136,-171.8697307529
5.431564000000001,-0.199021063693,-172.5906942293,-13.48810994483,-82.24890113093,-13.48810994483,-82.24890113093,-0.199021063258,-171.9074700970
5.431564100000000,-0.197783778708,-172.6284450739,-13.51458046781,-82.28665133287,-13.51458046781,-82.28665133287,-0.197783778273,-171.9452205654
5.431564200000000,-0.196550078088,-172.6662070155,-13.54114350799,-82.32441262903,-13.54114350799,-82.32441262903,-0.196550077653,-171.9829821309
5.431564300000001,-0.195319965281,-172.7039800263,-13.56779964061,-82.36218498589,-13.56779964061,-82.36218498589,-0.195319964846,-172.0207547655
5.431564400000000,-0.194093443539,-172.7417640782,-13.59454944615,-82.39996837566,-13.59454944615,-82.39996837566,-0.194093443103,-172.0585384412
5.431564500000000,-0.192870515654,-172.7795591427,-13.62139351070,-82.43776278447,-13.62139351070,-82.43776278447,-0.192870515218,-172.0963331296
5.431564600000001,-0.191651184961,-172.8173651916,-13.64833242610,-82.47556818155,-13.64833242610,-82.47556818155,-0.191651184525,-172.1341388024
5.431564700000000,-0.190435455323,-172.8551821978,-13.67536679069,-82.51338451935,-13.67536679069,-82.51338451935,-0.190435454887,-172.1719554325
5.431564800000000,-0.189223329245,-172.8930101322,-13.70249720741,-82.55121179225,-13.70249720741,-82.55121179225,-0.189223328809,-172.2097829907
5.431564900000001,-0.188014810328,-172.9308489668,-13.72972428584,-82.58904996024,-13.72972428584,-82.58904996024,-0.188014809892,-172.2476214492
